Link Vaga,Link Empresa,Cargo,Nome Empresa,Local,Tempo de Abertura,Status
https://br.linkedin.com/jobs/view/analista-pr%C3%A9-vendas-pleno-data-center-at-vivo-vita-3613699786?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=Ty8KmIxRi8GqmkzyguQxHg%3D%3D&position=5&pageNum=6&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/vita-it?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista Pré-Vendas Pleno - Data Center,Vivo Vita,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analytics-data-process-analyst-at-cargill-3621016602?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=oyD87BFTR8HVwnt2afiDbA%3D%3D&position=6&pageNum=6&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/cargill?trk=public_jobs_jserp-result_job-search-card-subtitle,Analytics Data Process Analyst,Cargill,"São Paulo, SP",Há 3 dias,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-privacidade-e-prote%C3%A7%C3%A3o-de-dados-sr-at-flora-cosm%C3%A9ticos-e-limpeza-3615196974?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=txhSOD5n0shpqArLr12BSw%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/floracosmeticoselimpeza?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Privacidade e Proteção de Dados Sr,Flora Cosméticos e Limpeza,"São Paulo, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/engenheiro-de-dados-banco-de-talentos-at-bulk-consulting-3614303529?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=yEGJsjB0IBy2YEvQbWpcCQ%3D%3D&position=8&pageNum=6&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/bulk-consulting-analytics?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de Dados (Banco de Talentos),Bulk Consulting,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/data-ingest-analyst-at-nielsen-3594054221?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=il7ySVHU5EK9x84PhbjBUg%3D%3D&position=9&pageNum=6&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/nielsen?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Ingest Analyst,Nielsen,"Cotia, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-descontos-pleno-at-justo-3618309686?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=XB4XAQJsUHK9GT4EBuSVVA%3D%3D&position=10&pageNum=6&trk=public_jobs_jserp-result_search-card,https://mx.linkedin.com/company/justoinc?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Descontos Pleno,Justo,"São Paulo, SP",Há 1 semana,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-sr-ci%C3%AAncias-de-dados-em-auditoria-vaga-afirmativa-para-mulheres-pessoas-pretas-ou-pardas-at-banco-bv-3624593831?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=NG%2BeE6j1BfJBU4M5y4ldtw%3D%3D&position=11&pageNum=6&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/banco-bv?trk=public_jobs_jserp-result_job-search-card-subtitle,"Analista Sr.Ciências de Dados em Auditoria | Vaga Afirmativa para mulheres, pessoas pretas ou pardas",banco BV,"São Paulo, SP",Há 2 dias,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/pessoa-analista-de-dados-pleno-segmenta%C3%A7%C3%A3o-de-p%C3%BAblico-e-avalia%C3%A7%C3%A3o-de-resultados-at-minsait-3615115381?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=%2Fm%2FHM7sf%2FA7BI%2FIIjoob4g%3D%3D&position=12&pageNum=6&trk=public_jobs_jserp-result_search-card,https://es.linkedin.com/company/minsait?trk=public_jobs_jserp-result_job-search-card-subtitle,Pessoa Analista de Dados Pleno - Segmentação de Público e Avaliação de Resultados,Minsait,"Osasco, SP",Há 1 semana,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-gen-3590311890?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=fXVek3U0z34fzNcvCxSrAA%3D%3D&position=13&pageNum=6&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/seja-gen?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de Dados,Gen,"São Paulo, SP",Há 2 meses,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/55pbx-analista-de-business-intelligence-bi-at-bcr-cx-business-customer-relationship-3614304351?refId=u6KBULqzfEO50YdjktmFcQ%3D%3D&trackingId=p9ssI0dyhQgeo0Ul4GU%2FXw%3D%3D&position=14&pageNum=6&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/bcrcx?trk=public_jobs_jserp-result_job-search-card-subtitle,55PBX - Analista de Business Intelligence - BI,BCR CX - Business & Customer Relationship,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
